CÓDIGO;MULTIPLICADOR;NÚMERO BASE (NB);A;B;TERMINACIONES;DURACIÓN TOTAL NB;PATRÓN 1;PATRÓN 2;PATRÓN 3;DONDE EMPIEZA;;
0997;1;997;0997;-;997;32901;299100;-;-;36300;368301;701299
1997;1;1997;1997;-;997;65901;599100;-;-;346299;1011300;1676301
1999;1;1999;1999;-;999;199900;1799100;-;-;318300;2317300;-
2003;1;2003;2003;-;003;66099;600900;-;-;13199;682201;1349200
2999;1;2999;2999;-;999;299900;2699100;-;-;1167300;4166300;-
3001;1;3001;3001;-;001;300100;2700900;-;-;2673200;5674200;-
4001;1;4001;4001;-;001;400100;3600900;-;-;483200;4484200;-
4003;1;4003;4003;-;003;132099;1200900;-;-;1123201;2456200;3789199
4999;1;4999;4999;-;999;499900;4499100;-;-;4245300;9244300;-
5003;1;5003;5003;-;003;165099;1500900;-;-;418200;2084199;3755201
6997;1;6997;6997;-;997;230901;2099100;-;-;1325301;3662299;5992300
7001;1;7001;7001;-;001;700100;6300900;-;-;5676200;12677200;-
8999;1;8999;8999;-;999;899900;8099100;-;-;6922300;15921300;-
9001;1;9001;9001;-;001;900100;8100900;-;-;2437200;11438200;-
0499;2;998;998;-;499;49900;199101;-;-;157299;406300;-
1499;2;2998;2998;-;499;149900;598101;-;-;66300;814301;-
3499;2;6998;6998;-;499;349900;1396101;-;-;18299;1764300;-
5501;2;11002;11002;-;501;550100;2194899;-;-;4235;2562200;5307199
7499;2;14998;14998;-;499;749900;2992101;-;-;9223;3181300;6923301
8501;2;17002;17002;-;501;850100;3391899;-;-;1324200;5566199;-
1667;3;5001;5001;-;667;500100;1166900;2833900;-;87200;1754200;-
2333;3;6999;6999;-;333;699900;1633100;3966100;-;6275;2164300;4497300
5333;3;15999;15999;-;333;1599900;3733100;9066100;-;734300;6067300;-
7333;3;21999;21999;-;333;2199900;5133100;12466100;-;2036300;9369300;-
0251;4;1004;1004;-;251;25100;37901;-;-;33199;96200;-
0751;4;3004;3004;-;751;75100;111899;-;-;202;187201;-
1249;4;4996;4996;-;249;124900;186101;-;-;138301;449302;-
2251;4;9004;9004;-;251;225100;339901;-;-;212201;777202;-
2749;4;10996;10996;-;749;274900;415099;-;-;10253;568300;1258299
3251;4;13004;13004;-;251;325100;490901;-;-;238200;1054201;-
4751;4;19004;19004;-;751;475100;707899;-;-;1282;804201;1987200
5749;4;22996;22996;-;749;574900;868099;-;-;849299;2292298;-
9749;4;38996;38996;-;749;974900;1472099;-;-;660299;3107298;-
0199;5;995;995;-;199;19900;20099;-;-;244;29298;69297
0401;5;2005;2005;-;401;40100;40902;-;-;37200;118202;-
0599;5;2995;2995;-;599;59900;61098;-;-;22300;143298;-
0601;5;3005;3005;-;601;60100;58898;-;-;2265;82198;204201
1201;5;6005;6005;-;201;120100;118899;-;-;92200;331199;-
1399;5;6995;6995;-;399;139900;137102;-;-;28301;312298;-
1601;5;8005;8005;-;601;160100;156898;-;-;1232;270200;587198
1801;5;9005;9005;-;801;180100;181901;-;-;30202;383198;745199
2399;5;11995;11995;-;399;239900;235102;-;-;125299;600301;-
2801;5;14005;14005;-;801;280100;282901;-;-;128201;691202;-
4201;5;21005;21005;-;201;420100;415899;-;-;3234;692198;1528197
4799;5;23995;23995;-;799;479900;475101;-;-;20299;975300;-
4801;5;24005;24005;-;801;480100;484901;-;-;13298;498199;1463200
5399;5;26995;26995;-;399;539900;529102;-;-;1241;773298;1842300
5801;5;29005;29005;-;801;580100;585901;-;-;10267;770198;1936199
6199;5;30995;30995;-;199;619900;626099;-;-;26221;776300;2022299
6599;5;32995;32995;-;599;659900;673098;-;-;120299;1453297;-
8599;5;42995;42995;-;599;859900;877098;-;-;681298;2375301;-
9199;5;45995;45995;-;199;919900;929099;-;-;149299;1998298;-
9601;5;48005;48005;-;601;960100;940898;-;-;84200;1985198;3934201
0167;6;1002;1002;-;167;50100;32899;116900;-;218;74199;158200
2833;6;16998;16998;-;833;849900;558101;1983100;-;13286;1302301;2727300
3167;6;19002;19002;-;167;950100;623899;2216900;-;498200;2072199;-
3833;6;22998;22998;-;833;1149900;755101;2683100;-;125300;2030301;-
5167;6;31002;31002;-;167;1550100;1017899;3616900;-;22269;1536200;4104199
6833;6;40998;40998;-;833;2049900;1346101;4783100;-;25213;1658300;5054301
8167;6;49002;49002;-;167;2450100;1608899;5716900;-;35199;4143200;-
9833;6;58998;58998;-;833;2949900;1937101;6883100;-;36283;4451300;9338301
0571;7;3997;3997;-;571;131901;57100;246101;-;2209;71300;260301
0857;7;5999;5999;-;857;599900;257100;1114100;-;2236;475300;1332300
1429;7;10003;10003;-;429;330099;142900;615899;-;50200;523199;-
1571;7;10997;10997;-;571;362901;157100;677101;-;9221;243300;763301
2143;7;15001;15001;-;143;1500100;642900;2785900;-;7264;1190200;3333200
2857;7;19999;19999;-;857;1999900;857100;3714100;-;270300;3127300;-
3571;7;24997;24997;-;571;824901;357100;1539101;-;10248;767300;1949301
5857;7;40999;40999;-;857;4099900;1757100;7614100;-;15286;5298300;11155300
6143;7;43001;43001;-;143;4300100;1842900;7985900;-;39253;3903200;10046200
6571;7;45997;45997;-;571;1517901;657100;2832101;-;12287;2003300;4178301
6857;7;47999;47999;-;857;4799900;2057100;8914100;-;1197300;8054300;-
8429;7;59003;59003;-;429;1947099;842900;3632899;-;43240;2066200;4856199
9857;7;68999;68999;-;857;6899900;2957100;12814100;-;55297;9705300;19562300
1889;9;17001;17001;-;889;1700100;188900;2077900;-;11201;1883200;3772200
2111;9;18999;18999;-;111;1899900;211100;2322100;-;2258;1315300;3426300
3889;9;35001;35001;-;889;3500100;388900;4277900;-;15283;999200;4888200
4111;9;36999;36999;-;111;3699900;411100;4522100;-;287;3630300;7741300
4889;9;44001;44001;-;889;4400100;488900;5377900;-;19213;4336200;9225200
8111;9;72999;72999;-;111;7299900;811100;8922100;-;49233;3269300;11380300
0727;11;7997;7997;-;727;263901;26899;218100;-;3278;184301;429300
1091;11;12001;12001;-;091;1200100;109100;981900;-;9240;620200;1711200
2273;11;25003;25003;-;273;825099;84101;681900;-;19297;726200;1492201
2909;11;31999;31999;-;909;3199900;290900;2618100;-;10268;1895300;4804300
3727;11;40997;40997;-;727;1352901;137899;1118100;-;24262;747300;2003299
4091;11;45001;45001;-;091;4500100;409100;3681900;-;18286;239200;4330200
4273;11;47003;47003;-;273;1551099;158101;1281900;-;36277;254200;1694201
4909;11;53999;53999;-;909;5399900;490900;4418100;-;22237;1529300;6438300
5273;11;58003;58003;-;273;1914099;195101;1581900;-;34221;1405201;3124199
6091;11;67001;67001;-;091;6700100;609100;5481900;-;27226;4376200;10467200
7727;11;84997;84997;-;727;2804901;285899;2318100;-;81210;135299;2654301
8273;11;91003;91003;-;273;3003099;306101;2481900;-;70237;1675199;4463200
9091;11;100001;100001;-;091;10000100;909100;8181900;-;4272;1895200;10986200
0083;12;996;996;-;083;24900;3901;17098;-;264;12299;33298
1583;12;18996;18996;-;583;474900;83899;307102;-;8215;300;391301
2083;12;24996;24996;-;083;624900;97901;429098;-;21225;73300;600299
2417;12;29004;29004;-;417;725100;128101;468898;-;21293;548199;1145198
2917;12;35004;35004;-;917;875100;137099;600902;-;5279;43200;781201
3083;12;36996;36996;-;083;924900;144901;635098;-;25249;324300;1104299
3583;12;42996;42996;-;583;1074900;189899;695102;-;4263;502300;1387301
3917;12;47004;47004;-;917;1175100;184099;806902;-;46259;332200;1323201
4583;12;54996;54996;-;583;1374900;242899;889102;-;51283;963300;2095301
5417;12;65004;65004;-;417;1625100;287101;1050898;-;15221;1028200;2366199
6917;12;83004;83004;-;917;2075100;325099;1424902;-;33270;289199;2039200
7417;12;89004;89004;-;417;2225100;393101;1438898;-;28258;614201;2446200
7583;12;90996;90996;-;583;2274900;401899;1471102;-;77270;1313299;3186300
0769;13;9997;6921;3076;769;329901;76900;-;-;253;103299;356300
1231;13;16003;11079;4924;231;528099;123100;-;-;3286;365200;770199
3769;13;48997;33921;15076;769;1616901;376900;-;-;1243;310301;1599299
3923;13;50999;3923;47076;923;5099900;1176900;-;-;35267;2275300;6198300
4231;13;55003;38079;16924;231;1815099;423100;-;-;11296;1090201;2482200
5077;13;66001;5077;60924;077;6600100;1523100;-;-;15281;4823200;9900200
5231;13;68003;47079;20924;231;2244099;523100;-;-;66276;87200;1808199
5923;13;76999;5923;71076;923;7699900;1776900;-;-;53247;1895300;7818300
8231;13;107003;74079;32924;231;3531099;823100;-;-;104286;2524200;5232199
8923;13;115999;8923;107076;923;11599900;2676900;-;-;80217;8298300;17221300
9769;13;126997;87921;39076;769;4190901;976900;-;-;3223;42299;3256300
9923;13;128999;9923;119076;923;12899900;2976900;-;-;89207;7938300;17861300
0643;14;9002;7073;1929;643;450100;133101;192900;-;250;92199;409198
2357;14;32998;25927;7071;357;1649900;487899;707100;-;13222;1083300;2245301
3643;14;51002;40073;10929;643;2550100;754101;1092900;-;23278;1677200;3473199
4357;14;60998;47927;13071;357;3049900;901899;1307100;-;46227;2207299;4355300
4643;14;65002;51073;13929;643;3250100;961101;1392900;-;48240;1037199;3326198
7643;14;107002;84073;22929;643;5350100;1582101;2292900;-;18266;255199;4023198
9643;14;135002;106073;28929;643;6750100;1996101;2892900;-;71261;775200;5529199
0067;15;1005;67;938;067;20100;7102;6901;-;288;9199;23202
0467;15;7005;6071;934;467;140100;48101;43898;-;5281;77199;169198
0733;15;10995;2932;8063;733;219900;68902;71101;-;1238;9301;160299
1733;15;25995;6932;19063;733;519900;162902;168101;-;20258;143301;500299
1867;15;28005;13069;14936;867;560100;181099;197902;-;19248;118199;497200
1933;15;28995;1933;27062;933;579900;204898;199099;-;3266;204298;579300
2267;15;34005;9068;24937;267;680100;213098;219899;-;5236;200198;667200
2467;15;37005;32071;4934;467;740100;254101;231898;-;3231;267200;753199
3067;15;46005;3067;42938;067;920100;325102;315901;-;16285;470201;1065199
3467;15;52005;45071;6934;467;1040100;357101;325898;-;32277;618200;1301199
3533;15;52995;45929;7066;533;1059900;363899;332102;-;34234;41300;737301
3733;15;55995;14932;41063;733;1119900;350902;362101;-;21240;118298;943291
4133;15;61995;28931;33064;133;1239900;400901;438098;-;15250;234299;1073298
4733;15;70995;18932;52063;733;1419900;444902;459101;-;3265;481298;1527291
4933;15;73995;4933;69062;933;1479900;522898;508099;-;18202;526301;1557298
5867;15;88005;41069;46936;867;1760100;569099;621902;-;25286;823198;2014199
6067;15;91005;6067;84938;067;1820100;643102;624901;-;38282;936198;2204201
6133;15;91995;42931;49064;133;1839900;594901;650098;-;4231;1206299;2451298
6733;15;100995;26932;74063;733;2019900;632902;653101;-;65242;240300;1627298
7867;15;118005;55069;62936;867;2360100;763099;833902;-;73241;726202;2205198
7933;15;118995;7933;111062;933;2379900;840898;817099;-;37205;973299;2512301
8467;15;127005;110071;16934;467;2540100;872101;795898;-;87294;1137202;2805201
8867;15;133005;62069;70936;867;2660100;860099;939902;-;100285;1439202;3106198
8933;15;133995;8933;125062;933;2679900;946898;920099;-;131225;1721299;3454301
9067;15;136005;9067;126938;067;2720100;961102;933901;-;66279;1544200;3303198
9133;15;136995;63931;73064;133;2739900;885901;968098;-;70232;6301;1860300
9467;15;142005;123071;18934;467;2840100;975101;889898;-;50269;1934202;3799201
9533;15;142995;123929;19066;533;2859900;981899;896102;-;54242;359298;2237299
9733;15;145995;38932;107063;733;2919900;914902;944101;-;133244;386302;2391300
0059;17;1003;59;944;059;34102;14101;-;-;296;7199;27200
0353;17;6001;1059;4942;353;600100;247100;-;-;4267;308200;661200
0647;17;10999;1941;9058;647;1099900;452900;-;-;1235;580300;1227300
0941;17;15997;941;15056;941;543898;224899;-;-;12204;122301;441300
2647;17;44999;7941;37058;647;4499900;1852900;-;-;26231;2215300;4862300
5059;17;86003;5059;80944;059;2924102;1209101;-;-;10269;1376199;3091200
5647;17;95999;16941;79058;647;9599900;3952900;-;-;67255;1394300;7041300
6353;17;108001;19059;88942;353;10800100;4447100;-;-;13277;4403200;10756200
8059;17;137003;8059;128944;059;4658102;1926101;-;-;241;814200;3546201
8353;17;142001;25059;116942;353;14200100;5847100;-;-;84281;5288200;13641200
8647;17;146999;25941;121058;647;14699900;6052900;-;-;146220;5680300;14327300
8941;17;151997;8941;143056;941;5167898;2136899;-;-;80200;974300;4005299
9059;17;154003;9059;144944;059;5236102;2165101;-;-;271;2446201;5363199
9941;17;168997;9941;159056;941;5745898;2375899;-;-;79229;2763299;5964301
0389;18;7002;5057;1945;389;350100;159101;38900;-;4251;20200;211199
2389;18;43002;31057;11945;389;2150100;977101;238900;-;33278;745200;1918199
3389;18;61002;44057;16945;389;3050100;1386101;338900;-;30263;1528201;3192200
6389;18;115002;83057;31945;389;5750100;2613101;638900;-;44275;2846201;5983200
8389;18;151002;109057;41945;389;7550100;3431101;838900;-;125247;771200;4890199
0263;19;4997;3945;1052;263;164901;78900;-;-;207;22299;108300
0421;19;7999;2947;5052;421;799900;378900;-;-;5207;103300;524300
1579;19;30001;11053;18948;579;3000100;1421100;-;-;26258;1444200;3023200
2579;19;49001;18053;30948;579;4900100;2321100;-;-;22256;2436200;5015200
4421;19;83999;30947;53052;421;8399900;3978900;-;-;81213;1615300;6036300
5737;19;109003;86055;22948;737;3597099;1721100;-;-;87259;1768200;3644199
6263;19;118997;93945;25052;263;3926901;1878900;-;-;11210;656299;2704300
6421;19;121999;44947;77052;421;12199900;5778900;-;-;15217;2731300;9152300
6737;19;128003;101055;26948;737;4224099;2021100;-;-;82258;2056199;4387201
8263;19;156997;123945;33052;263;5180901;2478900;-;-;122209;816301;3675299
8737;19;166003;131055;34948;737;5478099;2621100;-;-;54256;2780200;5637199
9421;19;178999;65947;113052;421;17899900;8478900;-;-;154221;4855300;14276300
0619;21;12999;4952;8047;619;1299900;680900;61900;557100;4227;293300;912300
1381;21;29001;11048;17953;381;2900100;1519100;138100;1242900;11282;395200;1776200
1619;21;33999;12952;21047;619;3399900;1780900;161900;1457100;6200;1463300;3082300
2381;21;50001;19048;30953;381;5000100;2619100;238100;2142900;43262;1705200;4086200
5381;21;113001;43048;69953;381;11300100;5919100;538100;4842900;6295;33200;5414200
6619;21;138999;52952;86047;619;13899900;7280900;661900;5957100;45207;356300;6975300
9619;21;201999;76952;125047;619;20199900;10580900;961900;8657100;27221;3307300;12926300
0409;22;8998;6953;2045;409;449900;249899;40900;-;216;31300;231301
1409;22;30998;23953;7045;409;1549900;860899;140900;-;9200;557301;1277300
2591;22;57002;44047;12955;591;2850100;1583101;259100;-;45264;812200;2079199
4409;22;96998;74953;22045;409;4849900;2693899;440900;-;55244;1748300;3904301
4591;22;101002;78047;22955;591;5050100;2805101;459100;-;34294;2123199;4469200
5591;22;123002;95047;27955;591;6150100;3416101;559100;-;103265;1635199;4492200
7591;22;167002;129047;37955;591;8350100;4638101;759100;-;64295;3518200;7230199
0739;23;16997;2956;14041;739;577898;325899;-;-;6229;102299;337301
1087;23;25001;13044;11957;087;2500100;1413100;-;-;7293;943200;2030200
1913;23;43999;22956;21043;913;4399900;2486900;-;-;8206;1611300;3524300
2087;23;48001;25044;22957;087;4800100;2713100;-;-;20264;1122200;3209200
3739;23;85997;14956;71041;739;2923898;1648899;-;-;50214;106299;1295301
4261;23;98003;17044;80959;261;3332102;1879101;-;-;49299;1076200;2529201
5087;23;117001;61044;55957;087;11700100;6613100;-;-;100264;2786200;7873200
5261;23;121003;21044;99959;261;4114102;2320101;-;-;8259;1176201;2849199
8087;23;186001;97044;88957;087;18600100;10513100;-;-;54263;4510200;12597200
9739;23;223997;38956;185041;739;7615898;4294899;-;-;189228;1231301;4552300
0577;26;15002;4039;10963;577;750100;469101;-;-;13276;20200;301199
1423;26;36998;9961;27037;423;1849900;1156899;-;-;14215;576300;1269301
2423;26;62998;16961;46037;423;3149900;1969899;-;-;24205;666300;1846301
4423;26;114998;30961;84037;423;5749900;3595899;-;-;13224;66300;2220301
6577;26;171002;46039;124963;577;8550100;5347101;-;-;105297;1677200;4880199
7577;26;197002;53039;143963;577;9850100;6160101;-;-;68268;947200;4637199
8423;26;218998;58961;160037;423;10949900;6847899;-;-;185221;67299;4169300
0037;27;999;962;37;037;99900;62900;25900;-;229;3300;40300
2963;27;80001;77038;2963;963;8000100;5037100;2074100;-;8266;654200;3617200
3037;27;81999;78962;3037;037;8199900;5162900;2125900;-;49229;301300;3338300
6037;27;162999;156962;6037;037;16299900;10262900;4225900;-;158229;659300;6696300
7963;27;215001;207038;7963;963;21500100;13537100;5574100;-;6290;4545200;12508200
8963;27;242001;233038;8963;963;24200100;15237100;6274100;-;204266;2158200;11121200
0107;28;2996;963;2033;107;74900;48899;22898;-;225;24300;50301
0607;28;16996;13961;3035;607;424900;268901;112902;-;12206;72299;228298
1607;28;44996;36961;8035;607;1124900;711901;298902;-;8211;212300;625299
2393;28;67004;55039;11965;393;1675100;1060099;445098;-;21273;593200;1208201
3607;28;100996;82961;18035;607;2524900;1597901;670902;-;11217;671298;1497301
5107;28;142996;45963;97033;107;3574900;2333899;1092898;-;31203;465298;1706299
5393;28;151004;124039;26965;393;3775100;2389099;1003098;-;107266;312200;1698201
6607;28;184996;151961;33035;607;4624900;2926901;1228902;-;93224;1487301;3185300
7393;28;207004;170039;36965;393;5175100;3275099;1375098;-;95295;827202;2520199
7607;28;212996;174961;38035;607;5324900;3369901;1414902;-;206225;69299;2024298
8893;28;249004;80037;168967;893;6225100;4064101;1903102;-;61272;150202;2311201
1069;29;31001;16035;14966;069;3100100;2031100;-;-;30284;633200;1702200
1931;29;55999;28965;27034;931;5599900;3668900;-;-;3224;1540300;3471300
2069;29;60001;31035;28966;069;6000100;3931100;-;-;48269;46200;2115200
2207;29;64003;11035;52968;207;2176102;1419101;-;-;11277;554199;1311200
3793;29;109997;18965;91032;793;3739898;2438899;-;-;98200;261299;1452301
3931;29;113999;58965;55034;931;11399900;7468900;-;-;26219;2585300;6516300
4793;29;138997;23965;115032;793;4725898;3081899;-;-;28230;1624299;3129301
4931;29;142999;73965;69034;931;14299900;9368900;-;-;8234;432300;5363300
6793;29;196997;33965;163032;793;6697898;4367899;-;-;33217;1310301;3640300
7069;29;205001;106035;98966;069;20500100;13431100;-;-;101298;1218200;8287200
7207;29;209003;36035;172968;207;7106102;4634101;-;-;87276;2069201;4332199
7793;29;225997;38965;187032;793;7683898;5010899;-;-;147209;1160299;3607301
8069;29;234001;121035;112966;069;23400100;15331100;-;-;75283;4860200;12929200
9931;29;287999;148965;139034;931;28799900;18868900;-;-;215204;2360300;12291300
0613;31;19003;11034;7969;613;627099;429100;-;-;14276;152201;350200
1129;31;34999;25967;9032;129;3499900;2370900;-;-;18210;255300;1384300
1613;31;50003;29034;20969;613;1650099;1129100;-;-;26275;389200;910199
1871;31;58001;43033;14968;871;5800100;3929100;-;-;50273;1429200;3300200
2129;31;65999;48967;17032;129;6599900;4470900;-;-;32211;545300;2674300
3613;31;112003;65034;46969;613;3696099;2529100;-;-;8273;933201;2100200
4129;31;127999;94967;33032;129;12799900;8670900;-;-;54213;1305300;5434300
4871;31;151001;112033;38968;871;15100100;10229100;-;-;116270;4159200;9030200
5387;31;166997;96966;70031;387;5510901;3770900;-;-;9211;386301;2293299
6871;31;213001;158033;54968;871;21300100;14429100;-;-;150268;6279200;13150200
7129;31;220999;163967;57032;129;22099900;14970900;-;-;72216;2895300;10024300
8387;31;259997;150966;109031;387;8579901;5870900;-;-;98211;685301;3654299
9613;31;298003;173034;124969;613;9834099;6729100;-;-;214273;2675201;5780200
9871;31;306001;227033;78968;871;30600100;20729100;-;-;107297;38200;9909200
1303;33;42999;29969;13030;303;4299900;2996900;1693900;390900;24222;579300;1882300
1697;33;56001;39031;16970;697;5600100;3903100;2206100;509100;14271;1129200;2826200
3697;33;122001;85031;36970;697;12200100;8503100;4806100;1109100;53273;2238200;5935200
5303;33;174999;121969;53030;303;17499900;12196900;6893900;1590900;162218;1721300;7024300
9697;33;320001;223031;96970;697;32000100;22303100;12606100;2909100;314279;4125200;13822200
0853;34;29002;23031;5971;853;1450100;1038101;-;-;16283;92200;504199
3853;34;131002;104031;26971;853;6550100;4689101;-;-;54288;4199;1996200
5147;34;174998;138969;36029;147;8749900;6263899;-;-;128211;61300;2547301
7853;34;267002;212031;54971;853;13350100;9557101;-;-;236296;3126200;6919199
8147;34;276998;219969;57029;147;13849900;9914899;-;-;162206;3437300;7372301
0257;35;8995;7967;1028;257;179900;124902;78899;-;2212;51299;97302
0457;35;15995;10968;5027;457;319900;234898;133901;-;6219;21300;106302
0743;35;26005;23033;2972;743;520100;361098;228101;-;289;142202;275199
1543;35;54005;37032;16973;543;1080100;793102;452099;-;25289;309201;596199
1657;35;57995;4971;53024;657;1159900;816901;473902;-;24208;294299;637298
2543;35;89005;61032;27973;543;1780100;1307102;745099;-;77281;161200;634198
2657;35;92995;7971;85024;657;1859900;1309901;759902;-;20219;89301;639300
3257;35;113995;100967;13028;257;2279900;1582902;999899;-;106210;614302;1311300
3343;35;117005;10029;106976;343;2340100;1648099;956098;-;108279;312202;887198
3457;35;120995;82968;38027;457;2419900;1776898;1012901;-;33221;147302;911299
3943;35;138005;67031;70974;943;2760100;1999101;1238102;-;88283;163200;924199
4057;35;141995;68969;73026;057;2839900;2056899;1273898;-;55215;132298;915299
4457;35;155995;106968;49027;457;3119900;2290898;1305901;-;56202;564300;1393302
4657;35;162995;13971;149024;657;3259900;2295901;1331902;-;147207;906298;1707302
4943;35;173005;84031;88974;943;3460100;2506101;1552102;-;145274;585201;1539200
5657;35;197995;16971;181024;657;3959900;2788901;1617902;-;139218;286300;1457299
5743;35;201005;178033;22972;743;4020100;2791098;1763101;-;180272;651198;1880200
6257;35;218995;193967;25028;257;4379900;3040902;1920899;-;135213;1330300;2669298
6343;35;222005;19029;202976;343;4440100;3127099;1814098;-;91275;478198;1791199
7057;35;246995;119969;127026;057;4939900;3577899;2215898;-;117216;251299;1613300
7457;35;260995;178968;82027;457;5219900;3832898;2184901;-;64204;914302;2562299
8543;35;299005;205032;93973;543;5980100;4391102;2503099;-;191277;772201;2361199
9257;35;323995;286967;37028;257;6479900;4498902;2841899;-;98216;209300;2190298
9343;35;327005;28029;298976;343;6540100;4606099;2672098;-;293276;863199;2797200
9743;35;341005;302033;38972;743;6820100;4735098;2991101;-;23285;140201;1884198
0139;36;5004;4031;973;139;125100;89099;53098;-;2283;198;36199
1361;36;48996;14971;34025;361;1224900;896899;568898;-;6219;10302;387299
1861;36;66996;53969;13027;861;1674900;1192901;710902;-;12226;185299;667298
2861;36;102996;82969;20027;861;2574900;1833901;1092902;-;10213;605301;1346300
3361;36;120996;36971;84025;361;3024900;2214899;1404898;-;79218;89301;1020298
4139;36;149004;120031;28973;139;3725100;2653099;1581098;-;76281;163200;1235201
4639;36;167004;51029;115975;639;4175100;3057101;1939102;-;11272;526201;1644200
4861;36;174996;140969;34027;861;4374900;3115901;1856902;-;22214;1208298;2292301
5639;36;203004;62029;140975;639;5075100;3716101;2357102;-;98287;1271199;2833202
5861;36;210996;169969;41027;861;5274900;3756901;2238902;-;9201;595301;2113300
6361;36;228996;69971;159025;361;5724900;4191899;2658898;-;137206;1231298;2764299
7639;36;275004;84029;190975;639;6875100;5034101;3193102;-;3284;26201;1867200
8861;36;318996;256969;62027;861;7974900;5679901;3384902;-;58216;2220300;4515299
0919;37;34003;11028;22975;919;1122099;827100;-;-;6276;75201;370200
1973;37;73001;71028;1973;973;7300100;5327100;-;-;50291;1299200;3272200
2027;37;74999;72972;2027;027;7499900;5472900;-;-;15222;246300;2273300
2081;37;76997;24972;52025;081;2540901;1872900;-;-;48216;641301;1386299
3919;37;145003;47028;97975;919;4785099;3527100;-;-;50280;54199;1457201
4027;37;148999;144972;4027;027;14899900;10872900;-;-;26215;3469300;7496300
4919;37;182003;59028;122975;919;6006099;4427100;-;-;53272;604200;2183199
4973;37;184001;179028;4973;973;18400100;13427100;-;-;32274;1335200;6308200
5081;37;187997;60972;127025;081;6203901;4572900;-;-;148212;1408300;3039301
7027;37;259999;252972;7027;027;25999900;18972900;-;-;165204;3313300;10340300
7919;37;293003;95028;197975;919;9669099;7127100;-;-;133276;727201;3269200
8081;37;298997;96972;202025;081;9866901;7272900;-;-;284208;1989299;4583300
9973;37;369001;359028;9973;973;36900100;26927100;-;-;224292;6168200;16141200
0079;38;3002;1027;1975;079;150100;112101;-;-;286;29200;67199
3079;38;117002;40027;76975;079;5850100;4369101;-;-;54282;1415200;2896199
4079;38;155002;53027;101975;079;7750100;5788101;-;-;39280;35201;1997200
6079;38;231002;79027;151975;079;11550100;8626101;-;-;192278;186199;3341200
7079;38;269002;92027;176975;079;13450100;10045101;-;-;167276;429199;4103200
